lang,repo,path,chars,fams,n_fam,external,ml,stoploss,timeframe,has_roi
freqtrade,freqtrade/freqtrade-strategies,user_data/strategies/futures/FOttStrategy.py,5701,adx|supertrend,2,True,False,-0.265,1h,True
freqtrade,freqtrade/freqtrade-strategies,user_data/strategies/futures/FReinforcedStrategy.py,4780,adx|bbands,2,False,False,-0.05,5m,True
freqtrade,freqtrade/freqtrade-strategies,user_data/strategies/futures/FSampleStrategy.py,5413,adx|bbands|macd|mfi|psar|stoch,6,False,False,-0.05,1h,True
freqtrade,freqtrade/freqtrade-strategies,user_data/strategies/futures/FSupertrendStrategy.py,9193,supertrend,1,False,False,-0.265,1h,True
freqtrade,freqtrade/freqtrade-strategies,user_data/strategies/futures/TrendFollowingStrategy.py,2441,obv,1,False,False,-0.265,5m,True
freqtrade,freqtrade/freqtrade-strategies,user_data/strategies/futures/VolatilitySystem.py,6432,atr,1,False,False,-1.0,1h,True
freqtrade,freqtrade/freqtrade-strategies,user_data/strategies/hlhb.py,3821,adx,1,False,False,-0.3211,4h,True
freqtrade,freqtrade/freqtrade-strategies,user_data/strategies/lookahead_bias/DevilStra.py,26583,bbands|cci|macd|obv|stoch|williams,6,False,False,-0.28,4h,True
freqtrade,freqtrade/freqtrade-strategies,user_data/strategies/lookahead_bias/GodStraNew.py,25708,adx|bbands|cci|macd|mfi|obv|psar|stoch|williams,9,False,False,-0.128,4h,True
freqtrade,freqtrade/freqtrade-strategies,user_data/strategies/lookahead_bias/Zeus.py,4375,ichimoku,1,False,False,-0.256,4h,True
freqtrade,freqtrade/freqtrade-strategies,user_data/strategies/lookahead_bias/wtc.py,5855,ema|ml|stoch,3,False,True,-0.128,30m,True
freqtrade,freqtrade/freqtrade-strategies,user_data/strategies/mabStra.py,4044,,0,False,False,-0.128,4h,True
freqtrade,freqtrade/freqtrade-strategies,user_data/strategies/multi_tf.py,5345,,0,False,False,-0.1,5m,True
freqtrade,iterativv/NostalgiaForInfinity,NostalgiaForInfinityX.py,1630239,adx|atr|bbands|cci|fib|heikin|mfi|pivot|rsi|sma|stoch|vwap|williams,13,False,False,-0.99,5m,True
freqtrade,iterativv/NostalgiaForInfinity,NostalgiaForInfinityX2.py,624351,bbands|fib|heikin|pivot|williams,5,False,False,-0.99,5m,True
freqtrade,iterativv/NostalgiaForInfinity,NostalgiaForInfinityX3.py,1959406,atr|bbands|cci|fib|heikin|pivot|williams,7,False,False,-0.99,5m,False
freqtrade,iterativv/NostalgiaForInfinity,NostalgiaForInfinityX4.py,1959181,atr|bbands|cci|fib|heikin|pivot|williams,7,False,False,-0.99,5m,False
freqtrade,iterativv/NostalgiaForInfinity,NostalgiaForInfinityX5.py,2405784,bbands|cci|fib|heikin|mfi|obv|pivot|stoch|williams,9,False,False,-0.99,5m,False
freqtrade,iterativv/NostalgiaForInfinity,NostalgiaForInfinityX6.py,2923767,bbands|cci|fib|heikin|mfi|obv|pivot|stoch|williams,9,False,False,-0.99,5m,False
freqtrade,iterativv/NostalgiaForInfinity,NostalgiaForInfinityX7.py,3240146,bbands|cci|fib|heikin|mfi|obv|pivot|psar|sma|stoch|williams,11,True,False,-0.99,5m,False
freqtrade,iterativv/NostalgiaForInfinity,legacy/NostalgiaForInfinityNext.py,279211,atr|bbands|cci|ema|fib|heikin|ichimoku|mfi|pivot|rsi|sma|stoch|williams,13,False,False,-0.5,5m,True
freqtrade,iterativv/NostalgiaForInfinity,legacy/NostalgiaForInfinityNextGen.py,304415,bbands|cci|ema|fib|heikin|mfi|pivot|rsi|williams,9,False,False,-0.5,15m,True
freqtrade,iterativv/NostalgiaForInfinity,tests/unit/test_data/input/Strategy.py,1593,,0,False,False,,,False
freqtrade,iterativv/NostalgiaForInfinity,tests/unit/test_data/output/Strategy.py,983,,0,False,False,,,False
freqtrade,iterativv/NostalgiaForInfinity,tools/ho_to_raw_codemod_nfi4.py,4459,,0,False,False,,,False
freqtrade,eovie/freqtrade_strs,ClucHAnix/ClucHAnix.py,9520,bbands|heikin,2,False,False,-0.99,1m,True
freqtrade,eovie/freqtrade_strs,ClucHAnix/ClucHAnix_5m.py,10219,bbands|heikin,2,False,False,-0.99,5m,True
freqtrade,eovie/freqtrade_strs,binance/Archive/BBMod.py,30120,adx|bbands|cci|ema|heikin|rsi|sma|stoch|vwap|williams,10,False,False,-0.99,5m,True
freqtrade,eovie/freqtrade_strs,binance/Archive/BinHV27F.py,11249,adx,1,False,False,-0.25,5m,True
freqtrade,eovie/freqtrade_strs,binance/Archive/BinHV27_short.py,18672,adx|atr,2,False,False,-0.1,5m,True
freqtrade,eovie/freqtrade_strs,binance/Archive/ClucHAnix.py,8699,bbands|heikin,2,False,False,-0.99,1m,True
freqtrade,eovie/freqtrade_strs,binance/Archive/CombinedBinHAndCluc.py,6339,bbands,1,False,False,-0.99,5m,True
freqtrade,eovie/freqtrade_strs,binance/Archive/ConsensusShort.py,17759,atr|ichimoku|macd|stoch,4,False,False,-0.99,5m,True
freqtrade,eovie/freqtrade_strs,binance/Archive/HourBasedStrategy.py,1579,,0,False,False,-0.1,5m,True
freqtrade,eovie/freqtrade_strs,binance/Archive/ReinforcedQuickie.py,20835,atr|bbands|cci|mfi,4,False,False,-0.99,5m,True
freqtrade,eovie/freqtrade_strs,binance/dry_run/E0V1EN.py,5644,cci|stoch,2,False,False,-0.25,5m,True
freqtrade,eovie/freqtrade_strs,binance/dry_run/buy1_and_buynew/E0V1E.py,4506,cci|stoch,2,False,False,-0.25,5m,True
freqtrade,nateemma/strategies,Basket/BasketStrategy.py,25774,bbands,1,False,False,-0.99,4h,True
freqtrade,nateemma/strategies,Basket/BuyHoldBasket.py,2788,,0,False,False,-1.0,,True
freqtrade,nateemma/strategies,Basket/MomentumRegimeBasket.py,5975,,0,False,False,-0.99,1d,True
freqtrade,nateemma/strategies,Basket/MomentumRegimeBasket15m.py,14028,vwap,1,False,False,-0.99,15m,True
freqtrade,nateemma/strategies,Debug/DebugCheckRedundancy.py,28302,adx|macd|ml,3,False,True,,,False
freqtrade,nateemma/strategies,Debug/DebugDfAnalyse.py,58435,ml,1,False,True,,,False
freqtrade,nateemma/strategies,Debug/DebugEvaluateCtabGan.py,22168,,0,False,False,,,False
freqtrade,nateemma/strategies,Debug/DebugEvaluateMTCtabGan.py,16472,,0,False,False,,,False
freqtrade,nateemma/strategies,Debug/DebugNNMTStrategy.py,14053,adx,1,False,False,,,False
freqtrade,nateemma/strategies,Debug/DebugNNStrategy.py,18799,adx,1,False,False,,,False
freqtrade,nateemma/strategies,Debug/DebugRegimeIndicator.py,19294,adx|macd|rsi,3,False,False,,,False
freqtrade,nateemma/strategies,Debug/DebugTradingType.py,12712,adx,1,False,False,,,False
freqtrade,nateemma/strategies,Framework/BaseStrategy.py,41658,adx|ema|ml,3,False,True,-0.05,15m,True
freqtrade,nateemma/strategies,Framework/CreateScalers.py,12521,ml,1,False,True,,,False
freqtrade,nateemma/strategies,Framework/TrainingSignals.py,115403,adx|atr|bbands|cci|donchian|keltner|mfi|psar|rsi|vwap,10,False,False,,,False
freqtrade,nateemma/strategies,Framework/test_base_strategy.py,16344,ml,1,False,True,,,False
freqtrade,nateemma/strategies,Funding/FundingCarry.py,8740,,0,False,False,-0.99,1h,True
freqtrade,nateemma/strategies,GANs/CreateGANBase.py,19515,ml,1,False,True,,,False
freqtrade,nateemma/strategies,TSPredict/BuyRegions.py,15863,bbands|ml,2,False,True,-0.1,5m,True
freqtrade,PeetCrypto/freqtrade-stuff,ADXMomentum.py,2103,adx|psar,2,False,False,-0.25,1h,True
freqtrade,PeetCrypto/freqtrade-stuff,ADX_15M_USDT.py,2067,adx|psar,2,False,False,-0.1255,,True
freqtrade,PeetCrypto/freqtrade-stuff,ASDTSRockwellTrading.py,2540,macd,1,False,False,-0.3,5m,True
freqtrade,PeetCrypto/freqtrade-stuff,ActionZone.py,6666,,0,False,False,-1.0,1d,True
freqtrade,PeetCrypto/freqtrade-stuff,AdxSmas.py,1749,adx,1,False,False,-0.25,1h,True
freqtrade,PeetCrypto/freqtrade-stuff,AlligatorStrat.py,3502,cci|macd,2,False,False,-0.2,,True
freqtrade,PeetCrypto/freqtrade-stuff,AlligatorStrategy.py,8852,stoch,1,False,False,-0.99,1h,True
freqtrade,PeetCrypto/freqtrade-stuff,Apollo11 (1).py,7933,atr|bbands|ema|macd|sma,5,False,False,-0.16,15m,True
freqtrade,PeetCrypto/freqtrade-stuff,Apollo11.py,7933,atr|bbands|ema|macd|sma,5,False,False,-0.16,15m,True
freqtrade,PeetCrypto/freqtrade-stuff,Apollo11_TB_MOD_TranZ.py,33152,atr|bbands|ema|macd|sma,5,False,False,-0.15,15m,True
freqtrade,PeetCrypto/freqtrade-stuff,AutoArimaTripleV1.py,13924,macd|psar,2,False,False,-0.1,5m,True
freqtrade,PeetCrypto/freqtrade-stuff,AverageStrategy.py,1964,,0,False,False,-0.2,4h,True
freqtrade,PeetCrypto/freqtrade-stuff,AwesomeMacd.py,1900,adx|macd,2,False,False,-0.25,1h,True
freqtrade,PeetCrypto/freqtrade-stuff,BBRSI.py,3402,bbands,1,False,False,-0.3639404146663022,,True
freqtrade,PeetCrypto/freqtrade-stuff,BBRSIOptimizedStrategy.py,4182,bbands,1,False,False,-0.295,5m,True
freqtrade,PeetCrypto/freqtrade-stuff,BBRSITV.py,20936,ema|rsi,2,False,False,-0.25,5m,True
freqtrade,PeetCrypto/freqtrade-stuff,BB_RPB_3c.py,20701,adx|bbands|cci|ema|heikin|mfi|stoch|vwap|williams,9,False,False,-0.99,5m,True
freqtrade,PeetCrypto/freqtrade-stuff,BB_RPB_TSL.py,64487,adx|atr|bbands|cci|ema|heikin|ichimoku|mfi|rsi|sma|stoch|williams,12,False,False,-0.99,5m,True
freqtrade,PeetCrypto/freqtrade-stuff,BB_RPB_TSL_BI-v4_EWO2-v3.py,45255,adx|atr|bbands|cci|ema|heikin|ichimoku|mfi|rsi|stoch|williams,11,False,False,-0.99,5m,True
freqtrade,PeetCrypto/freqtrade-stuff,BB_RPB_TSL_BI.py,45236,adx|atr|bbands|cci|ema|heikin|ichimoku|mfi|rsi|stoch|williams,11,False,False,-0.99,5m,True
freqtrade,PeetCrypto/freqtrade-stuff,BB_RPB_TSL_RNG.py,20867,adx|bbands|cci|ema|rsi|stoch|williams,7,False,False,-0.99,5m,True
freqtrade,PeetCrypto/freqtrade-stuff,BB_RPB_TSL_RNG_TBS.py,35038,adx|bbands|cci|ema|rsi|stoch|williams,7,False,False,-0.99,5m,True
freqtrade,PeetCrypto/freqtrade-stuff,BB_RPB_TSL_RNG_TBS_GOLD (2).py,35050,adx|bbands|cci|ema|rsi|stoch|williams,7,False,False,-0.049,5m,True
freqtrade,PeetCrypto/freqtrade-stuff,BB_RPB_TSL_SMA_Tranz_1_5_2_MAIN (10).py,230642,adx|atr|bbands|cci|ema|fib|heikin|ichimoku|mfi|rsi|sma|stoch|vwap|williams,14,False,False,-0.13,5m,True
freqtrade,PeetCrypto/freqtrade-stuff,BB_RPB_TSL_SMA_Tranz_1_5_2_MAIN (7).py,230642,adx|atr|bbands|cci|ema|fib|heikin|ichimoku|mfi|rsi|sma|stoch|vwap|williams,14,False,False,-0.13,5m,True
freqtrade,PeetCrypto/freqtrade-stuff,BB_RPB_TSL_SMA_Tranz_1_5_2_MAIN (8).py,230642,adx|atr|bbands|cci|ema|fib|heikin|ichimoku|mfi|rsi|sma|stoch|vwap|williams,14,False,False,-0.13,5m,True
freqtrade,PeetCrypto/freqtrade-stuff,BB_RPB_TSL_SMA_Tranz_1_5_2_MAIN (9).py,230823,adx|atr|bbands|cci|ema|fib|heikin|ichimoku|mfi|rsi|sma|stoch|vwap|williams,14,False,False,-0.13,5m,True
freqtrade,PeetCrypto/freqtrade-stuff,BB_RSI.py,3929,bbands,1,False,False,-0.06491,,True
freqtrade,PeetCrypto/freqtrade-stuff,BB_Strategy04.py,6262,bbands,1,False,False,-0.32530922906811843,,True
freqtrade,PeetCrypto/freqtrade-stuff,BBands.py,15379,adx|bbands|cci|heikin|keltner|macd|mfi|psar|stoch,9,True,False,-0.05,1m,True
freqtrade,PeetCrypto/freqtrade-stuff,BBandsRSI.py,6295,bbands,1,False,False,-0.15,5m,True
freqtrade,PeetCrypto/freqtrade-stuff,BbRoi.py,2466,bbands,1,False,False,-0.23701,,True
freqtrade,PeetCrypto/freqtrade-stuff,BbandRsi.py,1914,bbands,1,False,False,-0.25,1m,True
freqtrade,PeetCrypto/freqtrade-stuff,BbandRsiRolling.py,2051,bbands,1,False,False,-0.08,5m,True
freqtrade,PeetCrypto/freqtrade-stuff,BcmbigzDevelop (1).py,53815,atr|bbands|macd|mfi,4,False,False,-0.99,5m,True
freqtrade,PeetCrypto/freqtrade-stuff,BcmbigzV1 (1).py,23739,bbands|macd,2,False,False,-0.99,5m,True
freqtrade,PeetCrypto/freqtrade-stuff,BeastBotXBLR6.py,49793,atr|bbands|cci|ema|macd|mfi|rsi|stoch|williams,9,False,False,-0.99,5m,True
freqtrade,PeetCrypto/freqtrade-stuff,BeastBotXBLR7.py,52291,atr|bbands|cci|ema|macd|mfi|rsi|stoch|williams,9,False,False,-0.99,5m,True
freqtrade,PeetCrypto/freqtrade-stuff,BigZ04.py,26505,bbands|macd,2,False,False,-0.99,5m,True
freqtrade,PeetCrypto/freqtrade-stuff,BigZ04_TSL3.py,28684,atr|bbands|macd,3,False,False,-0.99,5m,True
freqtrade,PeetCrypto/freqtrade-stuff,BigZ04_TSL4.py,29070,atr|bbands|ema|macd,4,False,False,-0.99,5m,True
freqtrade,PeetCrypto/freqtrade-stuff,BinClucHyperOpt.py,6157,bbands,1,False,False,,1h,False
freqtrade,PeetCrypto/freqtrade-stuff,BinClucMadDevelop.py,42857,atr|bbands|macd|mfi,4,False,False,-0.99,5m,True
freqtrade,PeetCrypto/freqtrade-stuff,BinClucMadSMACore.py,57008,atr|bbands|ema|macd|mfi,5,False,False,-0.228,5m,True
freqtrade,PeetCrypto/freqtrade-stuff,BinClucMadSMADevelop.py,50925,atr|bbands|ema|macd|mfi,5,False,False,-0.228,5m,True
freqtrade,PeetCrypto/freqtrade-stuff,BinHV27.py,5843,adx,1,False,False,-0.5,5m,True
freqtrade,PeetCrypto/freqtrade-stuff,BinHV45.py,2111,bbands,1,False,False,-0.05,1m,True
freqtrade,PeetCrypto/freqtrade-stuff,BlueEyes_MPP_v1.py,3135,ichimoku|pivot,2,False,False,-0.1,5m,True
freqtrade,PeetCrypto/freqtrade-stuff,BreakEven.py,2222,,0,False,False,-0.05,5m,True
freqtrade,PeetCrypto/freqtrade-stuff,BuyAllSellAllStrategy.py,1151,,0,False,False,-0.25,5m,False
freqtrade,PeetCrypto/freqtrade-stuff,CCIStrategy.py,4344,bbands|cci|mfi,3,False,False,-0.02,1m,True
freqtrade,PeetCrypto/freqtrade-stuff,CMCWinner.py,3157,cci|mfi,2,False,False,-0.05,15m,True
freqtrade,PeetCrypto/freqtrade-stuff,Chained.py,5863,,0,False,False,-0.99,1h,True
freqtrade,PeetCrypto/freqtrade-stuff,Chispei.py,1930,,0,False,False,-0.32336,,True
freqtrade,PeetCrypto/freqtrade-stuff,Cluc4werk.py,6402,bbands,1,False,False,-0.02055,1m,True
freqtrade,PeetCrypto/freqtrade-stuff,Cluc5werk.py,9793,bbands,1,False,False,-0.22405,1m,True
freqtrade,PeetCrypto/freqtrade-stuff,Cluc6werk.py,5966,bbands,1,False,False,-0.31742,1m,True
freqtrade,PeetCrypto/freqtrade-stuff,Cluc7werk.py,4224,bbands,1,False,False,-0.02,1m,True
freqtrade,PeetCrypto/freqtrade-stuff,ClucCrypROI.py,10229,adx|bbands|psar,3,True,False,-0.32238,15m,True
freqtrade,PeetCrypto/freqtrade-stuff,ClucCrypSlow (1).py,9291,adx|bbands,2,True,False,-0.32238,15m,True
freqtrade,PeetCrypto/freqtrade-stuff,ClucFiatROI.py,6157,bbands|psar,2,True,False,-0.34299,5m,True
freqtrade,PeetCrypto/freqtrade-stuff,ClucFiatSlow.py,4958,bbands,1,True,False,-0.34299,5m,True
freqtrade,PeetCrypto/freqtrade-stuff,ClucHAnix (3).py,8070,bbands|heikin,2,False,False,-0.23144,1m,True
freqtrade,PeetCrypto/freqtrade-stuff,ClucHAnix 5m trailbuy2 + BBRSIV5 offsets.py,21764,bbands|ema|heikin,3,False,False,-0.99,5m,True
freqtrade,PeetCrypto/freqtrade-stuff,ClucHAnix 5m trailbuy2 + dynamic offset.py,21764,bbands|ema|heikin,3,False,False,-0.99,5m,True
freqtrade,PeetCrypto/freqtrade-stuff,ClucHAnix E01VE Offsets.py,13108,bbands|heikin,2,False,False,-0.99,1m,True
freqtrade,PeetCrypto/freqtrade-stuff,ClucHAnix.py,11467,bbands|heikin,2,False,False,-0.99,1m,True
freqtrade,PeetCrypto/freqtrade-stuff,ClucHAnix2.py,12908,bbands|heikin,2,False,False,-0.99,1m,True
freqtrade,PeetCrypto/freqtrade-stuff,ClucHAnix_5m.py,8755,bbands|heikin,2,False,False,-0.99,5m,True
freqtrade,PeetCrypto/freqtrade-stuff,ClucHAnix_5mTB1 (1).py,21764,bbands|ema|heikin,3,False,False,-0.99,5m,True
freqtrade,PeetCrypto/freqtrade-stuff,ClucHAnix_5mTB1.py,21764,bbands|ema|heikin,3,False,False,-0.99,5m,True
freqtrade,PeetCrypto/freqtrade-stuff,ClucHAnix_BB_RPB.py,23678,adx|bbands|ema|heikin|stoch,5,False,False,-0.99,1m,True
freqtrade,PeetCrypto/freqtrade-stuff,ClucHAnix_BB_RPB_HO2.py,23155,adx|bbands|ema|heikin|stoch,5,False,False,-0.99,1m,True
freqtrade,PeetCrypto/freqtrade-stuff,ClucHAnix_BB_RPB_MOD.py,21311,adx|bbands|ema|heikin|stoch,5,False,False,-0.99,1m,True
freqtrade,PeetCrypto/freqtrade-stuff,ClucHAnix_BB_RPB_MOD2.py,21437,adx|bbands|ema|heikin|stoch,5,False,False,-0.99,1m,True
freqtrade,PeetCrypto/freqtrade-stuff,ClucHAnix_BB_RPB_MOD2_TB.py,35040,adx|bbands|ema|heikin|stoch,5,False,False,-0.99,1m,True
freqtrade,PeetCrypto/freqtrade-stuff,ClucHAnix_BB_RPB_MOD_E0V1E_DYNAMIC_TB (1).py,34274,adx|bbands|ema|heikin|stoch,5,False,False,-0.99,5m,True
freqtrade,PeetCrypto/freqtrade-stuff,ClucHAnix_BB_RPB_MOD_trailing_buy.py,34251,adx|bbands|ema|heikin|stoch,5,False,False,-0.99,5m,True
freqtrade,PeetCrypto/freqtrade-stuff,ClucHAnix_hhll (1).py,34704,bbands|heikin,2,False,False,-0.99,5m,True
freqtrade,PeetCrypto/freqtrade-stuff,ClucHAwerk.py,13933,bbands|heikin,2,False,False,-0.02139,1m,True
freqtrade,PeetCrypto/freqtrade-stuff,ClucMay72018.py,2858,adx|bbands|macd,3,False,False,-0.05,5m,True
freqtrade,PeetCrypto/freqtrade-stuff,CofiBitStrategy.py,2446,adx|stoch,2,False,False,-0.25,5m,True
freqtrade,PeetCrypto/freqtrade-stuff,CombinedBinHAndCluc.py,3228,bbands,1,False,False,-0.05,5m,True
freqtrade,PeetCrypto/freqtrade-stuff,CombinedBinHAndCluc2021.py,3790,bbands,1,False,False,-0.09,5m,True
freqtrade,PeetCrypto/freqtrade-stuff,CombinedBinHAndCluc2021Bull.py,3804,bbands,1,False,False,-0.09,5m,True
freqtrade,PeetCrypto/freqtrade-stuff,CombinedBinHAndClucV2.py,6119,atr|bbands|mfi|rsi|stoch,5,False,False,-0.05,1h,True
freqtrade,PeetCrypto/freqtrade-stuff,CombinedBinHAndClucV4.py,4729,bbands,1,False,False,-0.99,5m,True
freqtrade,PeetCrypto/freqtrade-stuff,CombinedBinHAndClucV5.py,6798,bbands,1,False,False,-0.99,5m,True
freqtrade,PeetCrypto/freqtrade-stuff,CombinedBinHAndClucV6.py,10525,atr|bbands,2,False,False,-0.99,5m,True
freqtrade,PeetCrypto/freqtrade-stuff,CombinedBinHAndClucV6H.py,20405,atr|bbands,2,False,False,-0.99,5m,True
